"service_uploaded","device_urn","loc_lat","loc_lon","env_temp","env_humid","pms_pm01_0","pms_pm02_5","pms_pm10_0"
"Jun 12, 2020 @ 23:21:46.000","note:dev:865284040101085","34.172","-118.057",,,"4.33","5.1","5.85"
"Jun 12, 2020 @ 23:21:41.000","note:dev:865284040101085","34.172","-118.057",,,"4.75",6,6
"Jun 12, 2020 @ 23:21:35.000","note:dev:865284040101085","34.172","-118.057",,,"5.45","6.38","6.38"
"Jun 12, 2020 @ 23:14:13.000","safecast:3856112813","47.612","-122.345","13.395","86.353",3,4,5
"Jun 12, 2020 @ 23:14:12.000","safecast:3714913954","52.395","4.875",,,0,0,0
"Jun 12, 2020 @ 23:12:06.000","safecast:4267748403","34.122","-118.261","42.584","-16.85",6,9,9
"Jun 12, 2020 @ 23:10:07.000","safecast:678194983","46.555","15.635",,,5,6,7
"Jun 12, 2020 @ 23:01:20.000","note:dev:865284040097945","34.122","-118.261",,,"7.88","12.25","12.85"
"Jun 12, 2020 @ 23:01:15.000","note:dev:865284040097945","34.122","-118.261",,,"13.58","16.83","16.83"
"Jun 12, 2020 @ 22:51:40.000","note:dev:865284040095238","34.122","-118.261",,,"8.13","10.38","10.38"
"Jun 12, 2020 @ 22:51:34.000","note:dev:865284040095238","34.122","-118.261",,,"7.48","8.7","8.7"
"Jun 12, 2020 @ 22:44:12.000","safecast:3714913954","52.395","4.875",,,1,1,2
"Jun 12, 2020 @ 22:43:54.000","note:dev:865284040083945","35.665","139.705",,,"15.6","23.23","25.78"
"Jun 12, 2020 @ 22:43:49.000","note:dev:865284040083945","35.665","139.705",,,"19.95","30.1","35.58"
"Jun 12, 2020 @ 22:42:36.000","note:dev:865284040095295",,,,,"3.13","6.38","6.98"
"Jun 12, 2020 @ 22:40:07.000","safecast:678194983","46.555","15.635",,,4,5,5
"Jun 12, 2020 @ 22:28:49.000","note:dev:865284040125878","34.483","136.163",,,"9.6","13.93","14.65"
"Jun 12, 2020 @ 22:28:44.000","note:dev:865284040125878","34.483","136.163",,,"9.4","13.4","14.25"
"Jun 12, 2020 @ 22:28:14.000","note:dev:865284040097879","34.065","-118.286",,,"7.75","10.35","10.6"
"Jun 12, 2020 @ 22:28:09.000","note:dev:865284040097879","34.065","-118.286",,,"10.75","13.73","14.23"
"Jun 12, 2020 @ 22:28:03.000","note:dev:865284040097879","34.065","-118.286",,,"9.43","12.75","13.23"
"Jun 12, 2020 @ 22:27:58.000","note:dev:865284040097879","34.065","-118.286",,,"6.73","9.68","10.73"
"Jun 12, 2020 @ 22:26:47.000","note:dev:865284040070785","34.122","-118.261",,,"7.3","8.82","9.55"
"Jun 12, 2020 @ 22:26:42.000","note:dev:865284040070785","34.122","-118.261",,,"8.32","13.23","14.13"
"Jun 12, 2020 @ 22:24:21.000","note:dev:865284040125720","37.739","-122.503",,,0,"1.38","3.3"
"Jun 12, 2020 @ 22:24:15.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.78","0.78"
"Jun 12, 2020 @ 22:24:10.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.78","2.17"
"Jun 12, 2020 @ 22:24:05.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.38","1.58"
"Jun 12, 2020 @ 22:21:15.000","note:dev:865284040101085","34.172","-118.057",,,"5.6","6.53","6.53"
"Jun 12, 2020 @ 22:21:10.000","note:dev:865284040101085","34.172","-118.057",,,"6.38","7.93","7.93"
"Jun 12, 2020 @ 22:21:04.000","note:dev:865284040101085","34.172","-118.057",,,"7.15","8.23","8.23"
"Jun 12, 2020 @ 22:20:59.000","note:dev:865284040101085","34.172","-118.057",,,"8.05","8.95","9.28"
"Jun 12, 2020 @ 22:14:16.000","safecast:3714913954","52.395","4.875",,,7,9,10
"Jun 12, 2020 @ 22:10:07.000","safecast:678194983","46.555","15.635",,,4,6,6
"Jun 12, 2020 @ 21:44:12.000","safecast:3714913954","52.395","4.875",,,22,32,35
"Jun 12, 2020 @ 21:40:07.000","safecast:678194983","46.555","15.635",,,6,8,8
"Jun 12, 2020 @ 21:28:15.000","note:dev:865284040097879","34.065","-118.286",,,"7.28",8,"8.13"
"Jun 12, 2020 @ 21:28:10.000","note:dev:865284040097879","34.065","-118.286",,,"8.5","10.15","10.68"
"Jun 12, 2020 @ 21:28:05.000","note:dev:865284040097879","34.065","-118.286",,,"8.43","9.75","9.75"
"Jun 12, 2020 @ 21:27:59.000","note:dev:865284040097879","34.065","-118.286",,,"6.08","7.28","7.45"
"Jun 12, 2020 @ 21:24:25.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.85","2.55"
"Jun 12, 2020 @ 21:24:20.000","note:dev:865284040125720","37.739","-122.503",,,0,"1.15","2.13"
"Jun 12, 2020 @ 21:24:15.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.93","1.75"
"Jun 12, 2020 @ 21:21:46.000","note:dev:865284040101085","34.172","-118.057",,,"8.1","8.73","8.98"
"Jun 12, 2020 @ 21:21:41.000","note:dev:865284040101085","34.172","-118.057",,,"6.98","10.15","10.2"
"Jun 12, 2020 @ 21:21:35.000","note:dev:865284040101085","34.172","-118.057",,,"10.03","11.78","12.23"
"Jun 12, 2020 @ 21:21:30.000","note:dev:865284040101085","34.172","-118.057",,,"9.78","11.8","12.65"
"Jun 12, 2020 @ 21:14:12.000","safecast:3714913954","52.395","4.875",,,21,28,31
"Jun 12, 2020 @ 21:10:07.000","safecast:678194983","46.555","15.635",,,6,8,9
"Jun 12, 2020 @ 21:04:12.000","safecast:3768313999","33.403","-117.595",,,5,6,6
"Jun 12, 2020 @ 20:51:48.000","note:dev:865284040095238","34.122","-118.261",,,"8.45","11.2","11.2"
"Jun 12, 2020 @ 20:51:43.000","note:dev:865284040095238","34.122","-118.261",,,"13.13","17.52","18.08"
"Jun 12, 2020 @ 20:50:00.000","note:dev:865284040102018","25.038","121.507",,,"5.55","9.45","10.15"
"Jun 12, 2020 @ 20:49:54.000","note:dev:865284040102018","25.038","121.507",,,"5.3","9.07","10.15"
"Jun 12, 2020 @ 20:44:12.000","safecast:3714913954","52.395","4.875",,,20,29,31
"Jun 12, 2020 @ 20:44:03.000","note:dev:865284040097945","34.122","-118.261",,,"5.53","6.83","6.83"
"Jun 12, 2020 @ 20:43:58.000","note:dev:865284040097945","34.122","-118.261",,,"5.98","7.55","8.18"
"Jun 12, 2020 @ 20:43:53.000","note:dev:865284040097945","34.122","-118.261",,,"7.08","10.68","11.3"
"Jun 12, 2020 @ 20:43:47.000","note:dev:865284040097945","34.122","-118.261",,,"8.18","11.48","12.15"
"Jun 12, 2020 @ 20:43:30.000","note:dev:865284040083945","35.665","139.705",,,"19.9","31.8","36.15"
"Jun 12, 2020 @ 20:43:25.000","note:dev:865284040083945","35.665","139.705",,,"13.05","17.88","18.58"
"Jun 12, 2020 @ 20:40:07.000","safecast:678194983","46.555","15.635",,,5,6,7
"Jun 12, 2020 @ 20:38:47.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.95","2.88"
"Jun 12, 2020 @ 20:38:41.000","note:dev:865284040125720","37.739","-122.503",,,"0.03","2.4",3
"Jun 12, 2020 @ 20:28:45.000","note:dev:865284040125878","34.483","136.163",,,"11.7","19.08","20.13"
"Jun 12, 2020 @ 20:28:40.000","note:dev:865284040125878","34.483","136.163",,,"12.33",18,"19.08"
"Jun 12, 2020 @ 20:28:15.000","note:dev:865284040097879","34.065","-118.286",,,"7.4","8.98","9.23"
"Jun 12, 2020 @ 20:28:10.000","note:dev:865284040097879","34.065","-118.286",,,"7.13",9,"9.68"
"Jun 12, 2020 @ 20:28:05.000","note:dev:865284040097879","34.065","-118.286",,,"9.03","10.4","10.55"
"Jun 12, 2020 @ 20:28:03.000","note:dev:865284040070785","34.122","-118.261",,,"15.58","19.58","20.63"
"Jun 12, 2020 @ 20:27:59.000","note:dev:865284040097879","34.065","-118.286",,,"8.2",11,"11.45"
"Jun 12, 2020 @ 20:27:58.000","note:dev:865284040070785","34.122","-118.261",,,"16.23","29.23","32.88"
"Jun 12, 2020 @ 20:20:49.000","note:dev:865284040101085","34.172","-118.057",,,"6.08","7.93","7.93"
"Jun 12, 2020 @ 20:20:44.000","note:dev:865284040101085","34.172","-118.057",,,"8.38","10.7","10.9"
"Jun 12, 2020 @ 20:20:38.000","note:dev:865284040101085","34.172","-118.057",,,"6.38","7.28","7.28"
"Jun 12, 2020 @ 20:20:33.000","note:dev:865284040101085","34.172","-118.057",,,"6.6","7.68","8.6"
"Jun 12, 2020 @ 20:14:12.000","safecast:3714913954","52.395","4.875",,,14,17,18
"Jun 12, 2020 @ 20:10:08.000","safecast:678194983","46.555","15.635",,,6,7,8
"Jun 12, 2020 @ 20:07:30.000","note:dev:865284040095295","42.565","-70.784",,,"7.73","11.85",12
"Jun 12, 2020 @ 19:44:12.000","safecast:3714913954","52.395","4.875",,,17,25,27
"Jun 12, 2020 @ 19:40:07.000","safecast:678194983","46.555","15.635",,,4,5,5
"Jun 12, 2020 @ 19:28:18.000","note:dev:865284040097879","34.065","-118.286",,,"16.5","20.9","22.23"
"Jun 12, 2020 @ 19:28:12.000","note:dev:865284040097879","34.065","-118.286",,,"8.68","10.25","10.25"
"Jun 12, 2020 @ 19:28:07.000","note:dev:865284040097879","34.065","-118.286",,,10,12,"12.75"
"Jun 12, 2020 @ 19:28:02.000","note:dev:865284040097879","34.065","-118.286",,,"6.48","8.13","8.32"
"Jun 12, 2020 @ 19:21:26.000","note:dev:865284040101085","34.172","-118.057",,,"10.45","11.45","12.5"
"Jun 12, 2020 @ 19:21:21.000","note:dev:865284040101085","34.172","-118.057",,,"9.82","11.68",12
"Jun 12, 2020 @ 19:21:15.000","note:dev:865284040101085","34.172","-118.057",,,"11.9","14.3","14.88"
"Jun 12, 2020 @ 19:21:10.000","note:dev:865284040101085","34.172","-118.057",,,"10.53","12.5","12.5"
"Jun 12, 2020 @ 19:14:11.000","safecast:3714913954","52.395","4.875",,,15,20,21
"Jun 12, 2020 @ 19:10:08.000","safecast:678194983","46.555","15.635",,,2,3,3
"Jun 12, 2020 @ 18:55:08.000","safecast:678194983","46.555","15.635",,,2,3,4
"Jun 12, 2020 @ 18:45:08.000","safecast:678194983","46.555","15.635",,,3,3,4
"Jun 12, 2020 @ 18:44:18.000","note:dev:865284040097945","34.122","-118.261",,,"6.85","8.65","8.65"
"Jun 12, 2020 @ 18:44:13.000","safecast:3714913954","52.395","4.875",,,21,28,31
"Jun 12, 2020 @ 18:44:13.000","note:dev:865284040097945","34.122","-118.261",,,"17.05","24.75","25.9"
"Jun 12, 2020 @ 18:43:27.000","note:dev:865284040083945","35.665","139.705",,,"11.6","16.83","18.35"
"Jun 12, 2020 @ 18:43:22.000","note:dev:865284040083945","35.665","139.705",,,"16.27","23.45","25.68"
"Jun 12, 2020 @ 18:41:07.000","note:dev:865284040095238","34.122","-118.261",,,"18.88","27.23","28.35"
"Jun 12, 2020 @ 18:41:02.000","note:dev:865284040095238","34.122","-118.261",,,"18.55","27.33","28.45"
"Jun 12, 2020 @ 18:38:40.000","note:dev:865284040125720","37.739","-122.503",,,"0.85","5.5","6.45"
"Jun 12, 2020 @ 18:38:34.000","note:dev:865284040125720","37.739","-122.503",,,"0.63","3.25","4.05"
"Jun 12, 2020 @ 18:35:23.000","safecast:678194983","46.555","15.635",,,3,4,4
"Jun 12, 2020 @ 18:29:05.000","note:dev:865284040125878","34.483","136.163",,,"11.15","16.08","16.1"
"Jun 12, 2020 @ 18:28:59.000","note:dev:865284040125878","34.483","136.163",,,"13.55","19.93","20.3"
"Jun 12, 2020 @ 18:28:15.000","note:dev:865284040097879","34.065","-118.286",,,"9.78","10.83","11.5"
"Jun 12, 2020 @ 18:28:10.000","note:dev:865284040097879","34.065","-118.286",,,"9.13","11.78","11.93"
"Jun 12, 2020 @ 18:28:04.000","note:dev:865284040097879","34.065","-118.286",,,"11.2","13.85","14.08"
"Jun 12, 2020 @ 18:27:58.000","note:dev:865284040097879","34.065","-118.286",,,"22.4","28.78","32.15"
"Jun 12, 2020 @ 18:27:35.000","note:dev:865284040070785","34.122","-118.261",,,"16.25","24.3","25.23"
"Jun 12, 2020 @ 18:25:08.000","safecast:678194983","46.555","15.635",,,2,3,3
"Jun 12, 2020 @ 18:21:16.000","note:dev:865284040101085","34.172","-118.057",,,"10.05","12.1","12.95"
"Jun 12, 2020 @ 18:20:21.000","note:dev:865284040101085","34.172","-118.057",,,"14.75","17.65","18.52"
"Jun 12, 2020 @ 18:20:16.000","note:dev:865284040101085","34.172","-118.057",,,"13.53","15.98","16.33"
"Jun 12, 2020 @ 18:20:11.000","note:dev:865284040101085","34.172","-118.057",,,"9.48","12.48","13.25"
"Jun 12, 2020 @ 18:20:05.000","note:dev:865284040101085","34.172","-118.057",,,"9.23","13.1","13.1"
"Jun 12, 2020 @ 18:15:08.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 18:14:13.000","safecast:3714913954","52.395","4.875",,,15,20,21
"Jun 12, 2020 @ 18:05:23.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 17:55:08.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 17:45:08.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 17:44:17.000","safecast:3714913954","52.395","4.875",,,9,12,13
"Jun 12, 2020 @ 17:35:23.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 17:28:18.000","note:dev:865284040097879","34.065","-118.286",,,"11.88","15.83","17.27"
"Jun 12, 2020 @ 17:28:13.000","note:dev:865284040097879","34.065","-118.286",,,"12.48","16.7","17.63"
"Jun 12, 2020 @ 17:25:08.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 17:20:44.000","note:dev:865284040101085","34.172","-118.057",,,"11.8","15.65","16.05"
"Jun 12, 2020 @ 17:20:39.000","note:dev:865284040101085","34.172","-118.057",,,"10.95","14.7","14.7"
"Jun 12, 2020 @ 17:20:33.000","note:dev:865284040101085","34.172","-118.057",,,"10.65","14.35","14.83"
"Jun 12, 2020 @ 17:20:28.000","note:dev:865284040101085","34.172","-118.057",,,"11.38","13.5","13.5"
"Jun 12, 2020 @ 17:15:08.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 17:14:12.000","safecast:3714913954","52.395","4.875",,,10,12,12
"Jun 12, 2020 @ 17:05:23.000","safecast:678194983","46.555","15.635",,,2,2,2
"Jun 12, 2020 @ 17:01:17.000","note:dev:865284040097945","34.122","-118.261",,,"19.13",30,"33.2"
"Jun 12, 2020 @ 17:01:12.000","note:dev:865284040097945","34.122","-118.261",,,"18.52","28.2","29.15"
"Jun 12, 2020 @ 16:55:08.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 16:49:56.000","note:dev:865284040102018","25.038","121.507",,,"15.85","21.35","22.85"
"Jun 12, 2020 @ 16:49:51.000","note:dev:865284040102018","25.038","121.507",,,"2.83","4.9",6
"Jun 12, 2020 @ 16:45:08.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 16:44:11.000","safecast:3714913954","52.395","4.875",,,10,13,13
"Jun 12, 2020 @ 16:43:28.000","note:dev:865284040083945","35.665","139.705",,,"20.78","30.28","32.58"
"Jun 12, 2020 @ 16:43:23.000","note:dev:865284040083945","35.665","139.705",,,"14.4","18.9","20.45"
"Jun 12, 2020 @ 16:40:54.000","note:dev:865284040125720","37.739","-122.503",,,1,"3.28","3.45"
"Jun 12, 2020 @ 16:40:48.000","note:dev:865284040125720","37.739","-122.503",,,"2.23","4.93","8.3"
"Jun 12, 2020 @ 16:35:23.000","safecast:678194983","46.555","15.635",,,2,2,2
"Jun 12, 2020 @ 16:34:20.000","note:dev:865284040095238","34.122","-118.261",,,"18.3","27.08","27.35"
"Jun 12, 2020 @ 16:30:30.000","note:dev:865284040097879","34.065","-118.286",,,"16.9","25.35","28.68"
"Jun 12, 2020 @ 16:30:25.000","note:dev:865284040097879","34.065","-118.286",,,"16.48","24.33","26.35"
"Jun 12, 2020 @ 16:29:10.000","note:dev:865284040070785","34.122","-118.261",,,"15.55","21.75","21.83"
"Jun 12, 2020 @ 16:28:53.000","note:dev:865284040125878","34.483","136.163",,,"13.1","19.98","21.03"
"Jun 12, 2020 @ 16:28:48.000","note:dev:865284040125878","34.483","136.163",,,"9.73","15.45","15.65"
"Jun 12, 2020 @ 16:28:43.000","note:dev:865284040070785","34.122","-118.261",,,"18.85","28.88","30.7"
"Jun 12, 2020 @ 16:28:38.000","note:dev:865284040070785","34.122","-118.261",,,"20.35","30.58","33.4"
"Jun 12, 2020 @ 16:25:50.000","note:dev:865284040101085","34.172","-118.057",,,"17.27","25.25","27.6"
"Jun 12, 2020 @ 16:25:08.000","safecast:678194983","46.555","15.635",,,2,2,2
"Jun 12, 2020 @ 16:15:08.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 16:14:11.000","safecast:3714913954","52.395","4.875",,,9,11,11
"Jun 12, 2020 @ 16:05:23.000","safecast:678194983","46.555","15.635",,,2,2,2
"Jun 12, 2020 @ 16:01:42.000","safecast:1238569003","37.523","139.939","23.004","34.469",0,0,0
"Jun 12, 2020 @ 15:55:08.000","safecast:678194983","46.555","15.635",,,2,2,2
"Jun 12, 2020 @ 15:45:08.000","safecast:678194983","46.555","15.635",,,2,2,2
"Jun 12, 2020 @ 15:44:11.000","safecast:3714913954","52.395","4.875",,,11,13,13
"Jun 12, 2020 @ 15:35:23.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 15:25:08.000","safecast:678194983","46.555","15.635",,,2,2,2
"Jun 12, 2020 @ 15:15:55.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 15:14:16.000","safecast:3714913954","52.395","4.875",,,7,9,9
"Jun 12, 2020 @ 15:05:23.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 15:01:16.000","note:dev:865284040097945","34.122","-118.261",,,"19.38","31.53","36.13"
"Jun 12, 2020 @ 15:01:11.000","note:dev:865284040097945","34.122","-118.261",,,"18.65","30.43","33.48"
"Jun 12, 2020 @ 14:55:08.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 14:52:23.000","note:dev:865284040095238","34.122","-118.261",,,"15.53","25.75","28.2"
"Jun 12, 2020 @ 14:52:18.000","note:dev:865284040095238","34.122","-118.261",,,"17.8","29.68","30.6"
"Jun 12, 2020 @ 14:45:08.000","safecast:678194983","46.555","15.635",,,2,2,2
"Jun 12, 2020 @ 14:44:12.000","safecast:3714913954","52.395","4.875",,,9,11,12
"Jun 12, 2020 @ 14:43:24.000","note:dev:865284040083945","35.665","139.705",,,"10.23","14.6","15.48"
"Jun 12, 2020 @ 14:43:19.000","note:dev:865284040083945","35.665","139.705",,,"9.63","12.9","13.65"
"Jun 12, 2020 @ 14:41:10.000","note:dev:865284040125720","37.739","-122.503",,,"1.98","7.93","8.85"
"Jun 12, 2020 @ 14:41:04.000","note:dev:865284040125720","37.739","-122.503",,,"1.58","5.78","7.48"
"Jun 12, 2020 @ 14:40:13.000","note:dev:865284040101085","34.172","-118.057",,,"16.83","27.03","28.58"
"Jun 12, 2020 @ 14:40:07.000","note:dev:865284040101085","34.172","-118.057",,,"23.7","37.63","46.45"
"Jun 12, 2020 @ 14:35:23.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 14:31:13.000","note:dev:865284040097879","34.065","-118.286",,,"18.75",29,"30.88"
"Jun 12, 2020 @ 14:31:08.000","note:dev:865284040097879","34.065","-118.286",,,"20.38","31.35","33.92"
"Jun 12, 2020 @ 14:29:05.000","note:dev:865284040125878","34.483","136.163",,,"10.15","15.8","17.02"
"Jun 12, 2020 @ 14:29:04.000","note:dev:865284040070785","34.122","-118.261",,,"18.93","30.3","33.05"
"Jun 12, 2020 @ 14:28:59.000","note:dev:865284040070785","34.122","-118.261",,,"19.88","32.3","35.03"
"Jun 12, 2020 @ 14:28:59.000","note:dev:865284040125878","34.483","136.163",,,"8.38","12.4","13.38"
"Jun 12, 2020 @ 14:25:08.000","safecast:678194983","46.555","15.635",,,1,1,2
"Jun 12, 2020 @ 14:15:08.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 14:14:13.000","safecast:3714913954","52.395","4.875",,,11,13,14
"Jun 12, 2020 @ 14:05:23.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 13:55:08.000","safecast:678194983","46.555","15.635",,,2,2,2
"Jun 12, 2020 @ 13:45:08.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 13:44:16.000","safecast:3714913954","52.395","4.875",,,9,11,11
"Jun 12, 2020 @ 13:35:23.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 13:25:08.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 13:15:08.000","safecast:678194983","46.555","15.635",,,0,1,1
"Jun 12, 2020 @ 13:14:12.000","safecast:3714913954","52.395","4.875",,,9,12,12
"Jun 12, 2020 @ 13:05:23.000","safecast:678194983","46.555","15.635",,,0,1,1
"Jun 12, 2020 @ 13:01:13.000","note:dev:865284040097945","34.122","-118.261",,,"17.75","30.1","32.05"
"Jun 12, 2020 @ 13:01:07.000","note:dev:865284040097945","34.122","-118.261",,,"23.6","39.05","48.68"
"Jun 12, 2020 @ 12:56:28.000","safecast:479911182","34.483","136.163","22.003","81.112",8,11,12
"Jun 12, 2020 @ 12:55:08.000","safecast:678194983","46.555","15.635",,,0,0,0
"Jun 12, 2020 @ 12:51:46.000","safecast:2299238163","34.112","-118.255","17.714","60.988",8,12,13
"Jun 12, 2020 @ 12:51:19.000","note:dev:865284040095238","34.122","-118.261",,,"21.15","32.1","35.1"
"Jun 12, 2020 @ 12:51:14.000","note:dev:865284040095238","34.122","-118.261",,,"20.18","34.88","40.58"
"Jun 12, 2020 @ 12:50:13.000","note:dev:865284040102018","25.038","121.507",,,"2.23","4.13","6.05"
"Jun 12, 2020 @ 12:50:07.000","note:dev:865284040102018","25.038","121.507",,,"6.63","11.23","11.25"
"Jun 12, 2020 @ 12:45:08.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 12:44:23.000","safecast:3714913954","52.395","4.875",,,10,13,13
"Jun 12, 2020 @ 12:43:51.000","note:dev:865284040083945","35.665","139.705",,,"6.43","9.35","9.35"
"Jun 12, 2020 @ 12:43:45.000","note:dev:865284040083945","35.665","139.705",,,"5.45","8.6","10.5"
"Jun 12, 2020 @ 12:40:18.000","note:dev:865284040125720","37.739","-122.503",,,"2.93","7.05","8.73"
"Jun 12, 2020 @ 12:40:13.000","note:dev:865284040125720","37.739","-122.503",,,2,"5.33","7.7"
"Jun 12, 2020 @ 12:35:23.000","safecast:678194983","46.555","15.635",,,1,1,2
"Jun 12, 2020 @ 12:30:53.000","note:dev:865284040097879","34.065","-118.286",,,"22.73","33.7","38.48"
"Jun 12, 2020 @ 12:30:48.000","note:dev:865284040097879","34.065","-118.286",,,"24.3","38.13","45.93"
"Jun 12, 2020 @ 12:28:49.000","note:dev:865284040125878","34.483","136.163",,,"8.55","13.38","14.13"
"Jun 12, 2020 @ 12:28:44.000","note:dev:865284040125878","34.483","136.163",,,"9.65","14.85","17.13"
"Jun 12, 2020 @ 12:28:00.000","note:dev:865284040070785","34.122","-118.261",,,"23.5","35.9","42.83"
"Jun 12, 2020 @ 12:27:54.000","note:dev:865284040070785","34.122","-118.261",,,"10.88","17.8","18.65"
"Jun 12, 2020 @ 12:25:08.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 12:19:31.000","safecast:872300871","34.165","-118.135","15.007","56.6",3,5,7
"Jun 12, 2020 @ 12:15:08.000","safecast:678194983","46.555","15.635",,,3,3,3
"Jun 12, 2020 @ 12:14:10.000","safecast:3714913954","52.395","4.875",,,13,17,18
"Jun 12, 2020 @ 12:05:23.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 11:55:08.000","safecast:678194983","46.555","15.635",,,2,2,2
"Jun 12, 2020 @ 11:45:08.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 11:44:13.000","safecast:3714913954","52.395","4.875",,,25,28,30
"Jun 12, 2020 @ 11:25:08.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 11:15:08.000","safecast:678194983","46.555","15.635",,,0,0,0
"Jun 12, 2020 @ 11:14:15.000","safecast:3714913954","52.395","4.875",,,19,26,28
"Jun 12, 2020 @ 11:11:56.000","safecast:2670856639","34.452","-119.822","16.372","71.659",12,15,16
"Jun 12, 2020 @ 11:05:23.000","safecast:678194983","46.555","15.635",,,0,0,1
"Jun 12, 2020 @ 11:02:06.000","safecast:4267748403","34.122","-118.261","15.134","100.396",16,23,24
"Jun 12, 2020 @ 11:01:25.000","note:dev:865284040097945","34.122","-118.261",,,"13.73","22.23","23.4"
"Jun 12, 2020 @ 11:01:20.000","note:dev:865284040097945","34.122","-118.261",,,"11.08","18.98","20.55"
"Jun 12, 2020 @ 10:51:46.000","note:dev:865284040095238","34.122","-118.261",,,"11.25","17.63","18.55"
"Jun 12, 2020 @ 10:51:41.000","note:dev:865284040095238","34.122","-118.261",,,"10.28","17.23","19.73"
"Jun 12, 2020 @ 10:45:08.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 10:44:13.000","safecast:3714913954","52.395","4.875",,,15,23,24
"Jun 12, 2020 @ 10:43:59.000","note:dev:865284040083945","35.665","139.705",,,"6.63","9.35","9.8"
"Jun 12, 2020 @ 10:43:54.000","note:dev:865284040083945","35.665","139.705",,,"6.55","9.9","12.2"
"Jun 12, 2020 @ 10:41:11.000","note:dev:865284040125720","37.739","-122.503",,,"2.5","8.32","8.32"
"Jun 12, 2020 @ 10:41:06.000","note:dev:865284040125720","37.739","-122.503",,,3,"5.73","6.25"
"Jun 12, 2020 @ 10:40:36.000","note:dev:865284040101085","34.172","-118.057",,,"10.88","16.68","17.05"
"Jun 12, 2020 @ 10:40:31.000","note:dev:865284040101085","34.172","-118.057",,,"6.78","10.38","12.45"
"Jun 12, 2020 @ 10:35:23.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 10:29:51.000","note:dev:865284040097879","34.065","-118.286",,,"25.35","36.8","41.68"
"Jun 12, 2020 @ 10:29:46.000","note:dev:865284040097879","34.065","-118.286",,,"13.05","19.2","21.2"
"Jun 12, 2020 @ 10:28:41.000","note:dev:865284040125878","34.483","136.163",,,"9.07","13.23",14
"Jun 12, 2020 @ 10:28:36.000","note:dev:865284040125878","34.483","136.163",,,"7.95","11.2","11.83"
"Jun 12, 2020 @ 10:28:18.000","note:dev:865284040070785","34.122","-118.261",,,"14.98","21.03","22.05"
"Jun 12, 2020 @ 10:28:13.000","note:dev:865284040070785","34.122","-118.261",,,"9.45","17.5","18.27"
"Jun 12, 2020 @ 10:25:08.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 10:15:08.000","safecast:678194983","46.555","15.635",,,0,1,1
"Jun 12, 2020 @ 10:14:10.000","safecast:3714913954","52.395","4.875",,,17,26,27
"Jun 12, 2020 @ 10:05:23.000","safecast:678194983","46.555","15.635",,,1,2,2
"Jun 12, 2020 @ 09:55:08.000","safecast:678194983","46.555","15.635",,,0,1,1
"Jun 12, 2020 @ 09:45:08.000","safecast:678194983","46.555","15.635",,,1,1,1
"Jun 12, 2020 @ 09:44:22.000","safecast:3714913954","52.395","4.875",,,18,27,29
